Employee_ID,Name,Department,Job_Title,Hire_Date,Manager,Location,Employment_Type,Performance_Rating,Goals_Met_Percent,Projects_Completed,Training_Hours,Certifications,Attendance_Rate,Satisfaction_Score,Promotion_Eligible,Salary_Band,Tenure_Years,Last_Review_Date,Next_Review_Date,Skills_Assessment,Team_Size_Managed
E1001,Jennifer Williams,Engineering,Senior Software Engineer,2019-03-15,Michael Chen,San Francisco,Full-Time,Exceeds Expectations,95,12,48,AWS Solutions Architect,98.5,4.2,Yes,Senior,4.8,2024-01-10,2024-07-10,Expert,0
E1002,Robert Martinez,Sales,Account Executive,2020-07-22,Sarah Johnson,New York,Full-Time,Meets Expectations,88,8,24,Salesforce Certified,96.2,3.8,No,Mid,3.5,2024-01-15,2024-07-15,Proficient,0
E1003,Lisa Anderson,Marketing,Marketing Manager,2018-01-10,David Lee,Chicago,Full-Time,Exceeds Expectations,92,15,36,Google Analytics IQ,99.1,4.5,Yes,Senior,6.0,2024-01-05,2024-07-05,Expert,5
E1004,James Thompson,Engineering,DevOps Engineer,2021-05-18,Michael Chen,San Francisco,Full-Time,Meets Expectations,85,10,42,Kubernetes Admin,97.3,4.0,No,Mid,2.6,2024-01-20,2024-07-20,Proficient,0
E1005,Maria Garcia,Customer Success,Customer Success Manager,2019-11-03,Emma Wilson,Austin,Full-Time,Exceeds Expectations,94,11,30,Customer Success Cert,98.7,4.3,Yes,Senior,4.2,2024-01-08,2024-07-08,Expert,3
E1006,David Kim,Finance,Financial Analyst,2022-02-14,Richard Brown,Boston,Full-Time,Meets Expectations,87,7,28,CFA Level 2,95.8,3.7,No,Junior,1.9,2024-01-25,2024-07-25,Intermediate,0
E1007,Emily Davis,Product,Product Manager,2017-09-20,David Lee,Seattle,Full-Time,Outstanding,98,18,40,Certified Scrum Master,99.5,4.8,Yes,Lead,6.3,2024-01-03,2024-07-03,Expert,4
E1008,Michael Brown,Sales,Sales Development Rep,2023-01-09,Sarah Johnson,New York,Full-Time,Meets Expectations,82,6,20,N/A,94.5,3.5,No,Junior,1.0,2024-01-30,2024-07-30,Beginner,0
E1009,Sarah Wilson,Engineering,QA Engineer,2020-10-12,Michael Chen,San Francisco,Full-Time,Exceeds Expectations,91,13,38,ISTQB Advanced,97.9,4.1,Yes,Mid,3.2,2024-01-12,2024-07-12,Proficient,0
E1010,Christopher Lee,Marketing,Content Marketing Lead,2019-06-25,David Lee,Chicago,Full-Time,Exceeds Expectations,93,14,32,HubSpot Certified,98.3,4.4,Yes,Senior,4.5,2024-01-07,2024-07-07,Expert,2
