bank_txn_id,booking_date,value_date,amount,currency,counterparty_name,counterparty_account,description,channel
BTX-00000316,2026-01-23,2026-01-22,183.61,EUR,Harrison-Martin,GB28MRWO55770676225703,PAYMENT RCT-0000128 REF kfC7406,ACH
BTX-00000183,2026-02-21,2026-02-22,270.7,GBP,"Mills, Fields and Larsen",GB55NBWZ17282731401102,PAYMENT INV-0000157 REF ALW6533,ACH
BTX-00000206,2026-02-11,2026-02-10,101.9,GBP,"Fisher, Weber and Sanchez",GB48KHES17845480674536,PAYMENT INV-0000187 REF xEg0074,CARD
BTX-00000074,2026-01-01,2026-01-02,75.28,GBP,Patterson-Gillespie,GB62VDHN47860596932808,PAYMENT INV-0000028 REF wjp4571,ACH
BTX-00000140,2026-02-21,2026-02-20,438.27,AED,Evans Ltd,GB15NJEG78062604107288,PAYMENT INV-0000103 REF xeS1533,CHECK
BTX-00000187,2026-02-28,2026-02-28,188.73,EUR,Jones-Williams,GB16UYRY70052166336420,PAYMENT INV-0000163 REF uOm7855,CHECK
BTX-00000266,2026-02-22,2026-02-21,194.94,GBP,Ramirez-Howard,GB20TOCV02065527965312,PAYMENT RCT-0000069 REF osq4033,INTERNAL_TRANSFER
BTX-00000175,2026-02-02,2026-02-01,157.03,AED,Martinez Inc,GB26TQFV19319204225711,PAYMENT INV-0000148 REF jEt3330,CHECK
BTX-00000233,2026-01-26,2026-01-26,156.62,EUR,Smith-Ryan,GB23MCET51655941944674,PAYMENT RCT-0000024 REF RdW9637,INTERNAL_TRANSFER
BTX-00000249,2026-01-30,2026-01-31,56.0,USD,,GB43ZDZW11656691678349,PAYMENT RCT-0000047 REF oUA2933,INTERNAL_TRANSFER
BTX-00000294,2026-02-01,2026-02-02,112.43,GBP,Hansen LLC,GB50ZIJA42690488853625,PAYMENT RCT-0000101 REF aka9605,CHECK
BTX-00000034,2026-03-24,2026-03-23,20.9,EUR,,GB71YUCN03007170600769,PAYMENT INV-0000126 REF oZZ5769,ACH
BTX-00000345,2025-12-30,2025-12-31,4.48,AED,Williams Ltd,GB33PRLF92387618392842,PAYMENT  REF yGD4524,CASH
BTX-00000205,2026-02-21,2026-02-21,138.75,USD,Buchanan Ltd,GB20CBRB28093527735504,PAYMENT INV-0000185 REF dMG4300,CHECK
BTX-00000098,2026-02-14,2026-02-13,77.17,GBP,Sullivan-Smith,GB86BGUP72105925266187,PAYMENT INV-0000055 REF ZeZ9425,INTERNAL_TRANSFER
BTX-00000054,2026-02-12,2026-02-11,307.93,USD,"Moore, Pugh and Henry",GB78MNID09837577688891,PAYMENT INV-0000005 REF PAr5557,CHECK
BTX-00000177,2026-03-18,2026-03-17,137.6,GBP,Newton Inc,GB36CCOL29185867006468,PAYMENT INV-0000150 REF dYm6617,INTERNAL_TRANSFER
BTX-00000021,2026-02-13,2026-02-13,27.25,EUR,"Reyes, Carter and Dickerson",GB07KZFH37824051933713,PAYMENT RCT-0000105 REF ArD6130,CARD
BTX-00000215,2026-02-13,2026-02-14,223.48,GBP,Middleton-Murray,GB26BXES73053068811752,PAYMENT INV-0000199 REF iCe0800,CHECK
