doc_id,doc_type,vendor_id,vendor_name,customer_id,customer_name,issue_date,due_date,currency,subtotal,tax_rate,tax_amount,shipping,total_amount,payment_terms,po_number,status
RCT-0000001,receipt,V00010,Ashley LLC,C00050,Erin Alvarado,2026-01-23,2026-02-06,AED,102.05,5,5.1,0,107.15,NET14,PO-429861,VOID
RCT-0000002,receipt,V00010,Ashley LLC,C00007,Christina Castaneda,2025-12-26,2026-01-25,USD,283.05,10,28.3,10,321.35,NET45,PO-612438,PAID
RCT-0000003,receipt,V00002,Taylor-Odonnell,C00073,Jeffrey Juarez,2026-02-18,2026-03-04,GBP,9.14,5,0.46,20,29.6,NET30,PO-276379,VOID
RCT-0000004,receipt,V00010,Ashley LLC,C00096,Larry Norman,2026-01-01,2026-02-15,USD,47.22,5,2.36,20,69.58,NET7,PO-896922,VOID
RCT-0000005,receipt,V00009,Hernandez-Elliott,C00028,Lisa Leonard,2026-01-23,2026-01-30,EUR,259.33,10,25.93,0,285.26,NET14,PO-320073,PARTIALLY_PAID
RCT-0000006,receipt,V00010,Ashley LLC,C00081,Ryan Jordan,2026-01-23,2026-02-06,EUR,131.97,15,19.8,5,156.77,DUE_ON_RECEIPT,PO-664939,PAID
RCT-0000007,receipt,V00006,Newman Inc,C00091,Kelly Foster,2026-02-01,2026-03-03,GBP,101.09,0,0.0,5,106.09,NET14,PO-835499,PAID
RCT-0000008,receipt,V00004,Miller-Johnson,C00019,Sarah Cooper,2026-01-05,2026-02-04,EUR,102.95,10,10.29,10,123.24,NET7,PO-764406,OPEN
RCT-0000009,receipt,V00007,"Hooper, Bauer and Brown",C00066,Justin Romero,2026-01-03,2026-02-02,GBP,204.83,5,10.24,0,215.07,DUE_ON_RECEIPT,PO-517035,PAID
RCT-0000010,receipt,V00007,"Hooper, Bauer and Brown",C00028,Lisa Leonard,2026-01-19,2026-02-18,GBP,100.87,10,10.09,5,115.96,NET7,PO-148174,OPEN
RCT-0000011,receipt,V00008,Beck-Morton,C00003,Daniel Cruz,2026-02-12,2026-02-26,AED,298.41,5,14.92,0,313.33,NET30,PO-362552,OPEN
RCT-0000012,receipt,V00006,Newman Inc,C00086,Michael Wagner,2025-12-24,2026-01-07,USD,320.23,0,0.0,0,320.23,NET7,PO-323788,VOID
RCT-0000013,receipt,V00002,Taylor-Odonnell,C00017,Jacob Hardy,2026-01-13,2026-01-27,AED,10.18,5,0.51,0,10.69,NET45,PO-827744,PAID
